网点代码,网点名称,期间,业务总收入,代理金融收入,寄递业务收入,函件收入,国际函件收入,国内普包收入,机要收入,报刊收入,集邮收入,代理服务收入,信息服务收入,分销配送收入,文创收入,其他销售商品收入,其他业务收入,业务总成本,主营业务成本,管理费用,人工成本,业务代办费,业务外包费,折旧费,修理费,租赁成本,运输成本,营销费用,低值易耗品摊销,材料用品,印制成本+印制产品成本,集邮业务成本,分销商品销售成本,劳动保护费,安全保卫费,水电取暖费,行政办公经费,营业利润,利润总额,company,region,period,year,month,业务总收入_单月,营业利润_单月,利润总额_单月
43041101,新洲李集支局,2025年1月,569579.55,553590.23,1661.56,0.0,0.0,0.0,0,6350.95,0.0,396.0,0.0,7580.81,0,0.0,0.0,281191.0,281191.0,0.0,182700.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,288388.55,288388.55,02武汉新洲区,新洲区,2025-01,2025,1,569579.55,288388.55,288388.55
43041301,仓埠支局,2025年1月,694414.52,671450.23,1019.19,0.0,0.0,0.0,0,4570.52,0.0,2510.06,0.0,14864.52,0,0.0,0.0,342691.0,342691.0,0.0,244200.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,351723.52,351723.52,02武汉新洲区,新洲区,2025-01,2025,1,694414.52,351723.52,351723.52
43041502,正街支局,2025年1月,127304.63,123165.69,888.75,0.0,0.0,0.0,0,0.0,0.0,538.38,0.0,2711.81,0,0.0,0.0,62800.0,62800.0,0.0,62800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64504.63,64504.63,02武汉新洲区,新洲区,2025-01,2025,1,127304.63,64504.63,64504.63
43041503,新阳支局,2025年1月,9852.68,0.0,5789.07,1848.0,0.0,0.0,0,0.0,0.0,2215.61,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9852.68,9852.68,02武汉新洲区,新洲区,2025-01,2025,1,9852.68,9852.68,9852.68
43041504,生院支局,2025年1月,189.32,0.0,189.32,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.32,189.32,02武汉新洲区,新洲区,2025-01,2025,1,189.32,189.32,189.32
43041505,高新街支局,2025年1月,865581.06,860819.49,275.42,0.0,0.0,0.0,0,0.0,0.0,856.0,0.0,3630.15,0,0.0,0.0,427191.0,427191.0,0.0,328700.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,438390.06,438390.06,02武汉新洲区,新洲区,2025-01,2025,1,865581.06,438390.06,438390.06
43041601,双柳支局,2025年1月,485367.32,465579.3,483.89,0.0,0.0,0.0,0,8985.3,0.0,1880.0,0.0,8438.83,0,0.0,0.0,239591.0,239591.0,0.0,141100.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,245776.32,245776.32,02武汉新洲区,新洲区,2025-01,2025,1,485367.32,245776.32,245776.32
43041801,汪集支局,2025年1月,518739.37,493827.63,227.08,0.0,0.0,0.0,0,8849.67,0.0,776.0,0.0,15058.99,0,0.0,0.0,255991.0,255991.0,0.0,157500.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,262748.37,262748.37,02武汉新洲区,新洲区,2025-01,2025,1,518739.37,262748.37,262748.37
43042101,张店支局,2025年1月,228.43,0.0,228.43,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.43,228.43,02武汉新洲区,新洲区,2025-01,2025,1,228.43,228.43,228.43
43042201,城南支局,2025年1月,593669.01,583456.81,519.17,0.0,0.0,0.0,0,4355.05,0.0,1092.0,0.0,4245.98,0,0.0,0.0,295891.0,295891.0,0.0,197400.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,297778.01,297778.01,02武汉新洲区,新洲区,2025-01,2025,1,593669.01,297778.01,297778.01
43042401,涨渡湖支局,2025年1月,325422.31,307634.2,753.62,0.0,0.0,0.0,0,3817.25,0.0,3960.0,0.0,9257.24,0,0.0,0.0,160591.0,160591.0,0.0,62100.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,164831.31,164831.31,02武汉新洲区,新洲区,2025-01,2025,1,325422.31,164831.31,164831.31
43049901,龙腾大道支局,2025年1月,750224.3,746250.26,736.2,0.0,0.0,0.0,0,0.0,0.0,1520.0,0.0,1717.84,0,0.0,0.0,370191.0,370191.0,0.0,271700.0,0.0,0.0,0.0,23014.0,0.0,0.0,20938.0,13300.0,912.0,0.0,0.0,0.0,0.0,7861.0,0.0,0.0,380033.3,380033.3,02武汉新洲区,新洲区,2025-01,2025,1,750224.3,380033.3,380033.3
43000492,武莲路支局,2025年1月,2279.53,0.0,315.9,263.8,0.0,1598.5,0,0.0,0.0,0.0,0.0,0.0,0,101.33,0.0,14243.2802194694,12952.2902038014,1289.28397053278,12460.0078210117,0.0,0.0,9.91848314750157,0.0,0.0,1401.22787017503,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,199.42,0.0,-11963.7502194694,-11963.7502194694,07武汉武昌区,武昌区,2025-01,2025,1,2279.53,-11963.7502194694,-11963.7502194694
43006001,彭刘杨支局,2025年1月,1930849.31,1638719.46,5760.44999999998,1481.7,0.0,1886.0,0,0.0,230815.09,51913.19,0.0,0.0,0,273.42,0.0,517152.803363619,493902.492514964,18798.590910738,239513.394039618,0.0,44315.7900339168,8401.33551284696,24679.3355,0.0,3169.45551067882,42128.298,3591.03,4885.55045066925,4876.66641069029,75738.7807570011,0.0,0.0,31015.0565660616,18818.74,0.0,1413696.50663638,1413696.50663638,07武汉武昌区,武昌区,2025-01,2025,1,1930849.31,1413696.50663638,1413696.50663638
43006003,首义路支局,2025年1月,191.56,0.0,95.76,0.8,0.0,95.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13046.4686159041,11757.6047294789,1288.72051914942,12460.0078210117,0.0,0.0,0.833498410521204,0.0,0.0,76.4639292061398,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,338.02,0.0,-12854.9086159041,-12854.9086159041,07武汉武昌区,武昌区,2025-01,2025,1,191.56,-12854.9086159041,-12854.9086159041
43006006,纺机路支局,2025年1月,794623.37,792143.51,1029.36,235.0,0.0,582.0,0,0.0,0.0,572.0,0.0,0.0,0,61.5,0.0,263535.252026862,229277.770926816,9235.11572025818,118882.697019809,0.0,16812.667721519,3457.49277436836,1230.2255,67977.48,784.293319514829,15458.168,1881.02,3217.681,0.0,0.0,0.0,0.0,10550.7962021621,0.0,0.0,531088.117973139,531088.117973139,07武汉武昌区,武昌区,2025-01,2025,1,794623.37,531088.117973139,531088.117973139
43006101,中华路支局,2025年1月,418080.07,411983.07,1583.94000000001,492.9,0.0,783.5,0,0.0,0.0,3035.23,0.0,0.0,0,201.43,0.0,162490.470717416,153571.349988379,7844.83439873452,95868.4751078882,0.0,879.232360244686,1819.1118908728,730.2255,0.0,5529.51778593564,44607.608,1368.01,3271.0002114348,0.0,0.0,0.0,0.0,6517.50657416903,2482.75,0.0,255589.599282583,255589.599282583,07武汉武昌区,武昌区,2025-01,2025,1,418080.07,255589.599282583,255589.599282583
43006106,民主路支局,2025年1月,371.22,0.0,226.75,122.2,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0,13.27,0.0,12659.1178755473,11370.0710456987,1288.76900149138,12460.0078210117,0.0,0.0,1.61521862577616,0.0,0.0,26.2170075526009,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12287.8978755473,-12287.8978755473,07武汉武昌区,武昌区,2025-01,2025,1,371.22,-12287.8978755473,-12287.8978755473
43006108,中山路支局,2025年1月,1034016.71,1027020.1,2836.27000000001,622.7,0.0,609.7,0,0.0,0.0,2816.01,0.0,0.0,0,111.93,0.0,192202.397550613,180832.288543262,9299.71746673462,108328.4829289,0.0,1378.90995397008,4499.11925369266,2769.8255,0.0,1189.16458879569,45293.258,1539.01,3301.30211622555,0.0,0.0,0.0,0.0,12812.7327372386,4950.91,0.0,841814.312449388,841814.312449388,07武汉武昌区,武昌区,2025-01,2025,1,1034016.71,841814.312449388,841814.312449388
43006201,车辆厂支局,2025年1月,786505.66,718393.15,871.07,216.7,0.0,529.5,0,0.0,65629.42,763.44,0.0,0.0,0,102.38,0.0,282064.84772133,268319.668952797,11810.2627579616,133248.498570923,0.0,16821.0095845194,3422.17173457888,730.2255,59523.81,1123.89615424309,22389.878,2052.02,3218.1868748713,990.320860269089,21535.386844028,0.0,0.0,13321.0426886453,3185.31,0.0,504440.81227867,504440.81227867,07武汉武昌区,武昌区,2025-01,2025,1,786505.66,504440.81227867,504440.81227867
43006203,湖北大学支局,2025年1月,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16428.2078210117,13595.1689954915,1288.66882552021,12460.0078210117,0.0,0.0,0.0,0.0,2252.83,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16428.2078210117,-16428.2078210117,07武汉武昌区,武昌区,2025-01,2025,1,0.0,-16428.2078210117,-16428.2078210117
43006301,余家头支局,2025年1月,540169.2,533446.9,449.65,513.7,0.0,2099.0,0,0.0,0.0,3554.74,0.0,0.0,0,105.21,0.0,273116.912947719,203432.834809568,7877.78089183157,106422.689198797,0.0,1516.55069347708,2350.33498440442,1230.2255,50858.46,2469.03045026303,33283.318,1539.01,3309.64905160196,0.0,0.0,0.0,0.0,9921.57547159784,0.0,0.0,267052.287052281,267052.287052281,07武汉武昌区,武昌区,2025-01,2025,1,540169.2,267052.287052281,267052.287052281
43006302,杨园支局,2025年1月,745016.24,741071.56,1043.78,173.8,0.0,573.5,0,0.0,0.0,2068.0,0.0,0.0,0,85.6,0.0,315544.376183117,251924.359477046,9423.45129310521,120375.697019809,0.0,0.0,3241.64675220549,1230.2255,34572.53,882.89878251471,71482.628,1710.02,3217.681,0.0,0.0,0.0,0.0,10417.2247780888,3429.6,0.0,429471.863816883,429471.863816883,07武汉武昌区,武昌区,2025-01,2025,1,745016.24,429471.863816883,429471.863816883
43006402,佳馨花园支局,2025年1月,541655.75,540065.54,633.62,244.7,0.0,659.5,0,0.0,0.0,0.0,0.0,0.0,0,52.39,0.0,237932.951678029,206403.713358487,5300.84439533549,81502.673556774,0.0,16812.667721519,2356.8031252593,1230.2255,65345.33,769.611073553538,31506.468,1368.01,3217.681,0.0,0.0,0.0,0.0,9728.76520209714,0.0,0.0,303722.798321971,303722.798321971,07武汉武昌区,武昌区,2025-01,2025,1,541655.75,303722.798321971,303722.798321971
